"BehaviorSpace results (NetLogo 6.1.1)"
"conformity 3 popn distribution.nlogo"
"Distribution"
"03/02/2020 21:31:46:604 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prop-blue","change-vote-if-tied?","[step]","count turtles with [all? turtles-on neighbors [color = [color] of myself] ] / count turtles","count turtles with [color = blue] / count turtles"
"1","0.2","false","4","1","0"
"2","0.25","false","8","0.9982456909784658","7.455813341520109E-4"
"3","0.3","false","12","0.9936844875224771","0.0026753212578395683"
"4","0.35","false","12","0.9501776237884303","0.024472610850401297"
"12","0.75","false","8","0.9985965527827727","0.9994737072935398"
"8","0.55","false","25","0.6854523924389281","0.7745274330073243"
"7","0.5","false","26","0.5662909521512214","0.5256348405771677"
"5","0.4","false","25","0.8415420376299285","0.08841717468532082"
"13","0.8","false","4","1","1"
"11","0.7","false","15","0.9924564712074032","0.9969299592123152"
"6","0.45","false","31","0.6458488662777948","0.2641112231919653"
"10","0.65","false","20","0.9626332178413227","0.9829832024911188"
"14","0.2","false","6","1","0"
"15","0.25","false","7","1","0"
"16","0.3","false","9","0.9894741458707952","0.004385772553835358"
"17","0.35","false","13","0.9367571597736941","0.03162142011315293"
"9","0.6","false","41","0.8362352528397877","0.9085127845269945"
"18","0.4","false","20","0.8482084119117582","0.09411867900530678"
"22","0.6","false","22","0.8174641463093724","0.895180035963335"
"25","0.75","false","8","0.9980702600763124","0.9990789877636945"
"26","0.8","false","5","1","1"
"24","0.7","false","13","0.986491820534187","0.9939037761501689"
"27","0.2","false","3","1","0"
"21","0.55","false","27","0.6734353756414192","0.7301434147625104"
"20","0.5","false","30","0.5655453708170695","0.4908556642252533"
"28","0.25","false","6","0.9985965527827727","5.26292706460243E-4"
"29","0.3","false","12","0.9871935441428008","0.005526073417832551"
"23","0.65","false","36","0.9477215911582826","0.9748695232665234"
"30","0.35","false","22","0.9587737379939476","0.020130696022104294"
"32","0.45","false","23","0.6652778386912854","0.25367308451383713"
"34","0.55","false","24","0.6171220560501732","0.704662076224727"
"33","0.5","false","27","0.5636156308933818","0.5337485198017631"
"36","0.65","false","19","0.9576334371299504","0.9796061576246656"
"39","0.8","false","4","1","1"
"35","0.6","false","23","0.8326827770711811","0.9097408008420683"
"40","0.2","false","5","1","0"
"37","0.7","false","14","0.9875444059471076","0.9940792070523222"
"38","0.75","false","11","1","1"
"31","0.4","false","36","0.8429454848471558","0.0937239594754616"
"41","0.25","false","7","0.9985965527827727","5.26292706460243E-4"
"42","0.3","false","12","0.9910530239901759","0.00355247576860664"
"43","0.35","false","21","0.9673698521994649","0.014473049427656681"
"46","0.5","false","23","0.5656330862681461","0.5121266611113547"
"47","0.55","false","25","0.643392833647647","0.727599666681286"
"19","0.45","false","100","0.6524275251085478","0.24845401517477303"
"44","0.4","false","30","0.8355773869567125","0.08977676417700978"
"48","0.6","false","27","0.8206219025481338","0.892943291960879"
"52","0.8","false","5","0.9985965527827727","0.9994737072935398"
"51","0.75","false","6","0.9971931055655454","0.9989474145870795"
"49","0.65","false","23","0.9566685671681067","0.9791675803692821"
"50","0.7","false","12","0.997017674663392","0.9987719836849261"
"53","0.2","false","5","1","0"
"54","0.25","false","7","1","0"
"55","0.3","false","11","0.9873689750449541","0.00539450024121749"
"56","0.35","false","22","0.9638612341563967","0.016095785272575765"
"60","0.55","false","25","0.6526029560107013","0.7418095697557124"
"57","0.4","false","28","0.8221130652164379","0.10574097627297048"
"61","0.6","false","26","0.8461909565369939","0.9143020042980571"
"65","0.8","false","5","1","1"
"63","0.7","false","13","0.9938599184246305","0.9974562519187755"
"64","0.75","false","8","0.9968422437612385","0.9987281259593878"
"62","0.65","false","28","0.9478970220604359","0.9756589623262137"
"58","0.45","false","43","0.6724705056795754","0.24700671023200738"
"45","0.45","false","100","0.6605850620586816","0.2690671461777992"
"59","0.5","false","100","0.5607210210078505","0.5084426121661331"
