,Gini
0,0.0
1,0.38639999999999997
2,0.5034
3,0.5082
4,0.556
5,0.5691999999999999
6,0.64
7,0.6204000000000001
8,0.5972
9,0.581
10,0.612
11,0.606
12,0.6082000000000001
13,0.6215999999999999
14,0.5871999999999999
15,0.6362
16,0.6544
17,0.6437999999999999
18,0.6396
19,0.6076
20,0.5622
21,0.5794
22,0.6044
23,0.583
24,0.6113999999999999
25,0.6044
26,0.585
27,0.5589999999999999
28,0.5596
29,0.5768
30,0.5836
31,0.585
32,0.5740000000000001
33,0.5902000000000001
34,0.603
35,0.6298
36,0.6318
37,0.6504000000000001
38,0.6382
39,0.6508
40,0.6448
41,0.6698
42,0.6718
43,0.664
44,0.646
45,0.6646000000000001
46,0.6818
47,0.6762
48,0.6574
49,0.659
50,0.6557999999999999
51,0.6384000000000001
52,0.6486000000000001
53,0.6512
54,0.6566000000000001
55,0.6842
56,0.6866
57,0.6886
58,0.648
59,0.6646000000000001
60,0.6716
61,0.6708000000000001
62,0.6856
63,0.704
64,0.6776
65,0.679
66,0.6594
67,0.6378
68,0.6266
69,0.5926
70,0.6324000000000001
71,0.6355999999999999
72,0.6306
73,0.6116
74,0.6326
75,0.6482
76,0.6574
77,0.6678
78,0.6504000000000001
79,0.6566000000000001
80,0.6394
81,0.6008
82,0.5952
83,0.5892
84,0.6088
85,0.6158
86,0.6182000000000001
87,0.6602
88,0.6424000000000001
89,0.6396
90,0.6344000000000001
91,0.6312
92,0.638
93,0.6315999999999999
94,0.656
95,0.6604
96,0.6604
97,0.6496
98,0.6584
99,0.651
